epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3200.01,1.68717,3.78496,1.03011,0.95446,0.77594,0.44891,0.6304,0.29141,0.25391,0.12381,0.16401,0.04839,1.90569,4.41093,1.19013,1.012,0.000302417,0.000302417,0.000302417
73,3240.77,1.72159,3.86638,1.03592,0.95045,0.68714,0.46916,0.59474,0.26288,0.22305,0.13156,0.14703,0.04482,1.92734,4.2677,1.2158,1.0083,0.000284213,0.000284213,0.000284213
74,3279.07,1.67814,3.79561,1.02764,0.95035,0.75415,0.46903,0.62864,0.28145,0.18487,0.0982,0.1104,0.03462,1.85467,4.53721,1.14206,0.9968,0.000266476,0.000266476,0.000266476
75,3333.88,1.70948,3.80549,1.02104,0.95265,0.66521,0.46836,0.59584,0.2678,0.22578,0.12434,0.14696,0.05142,1.91489,4.36603,1.17677,1.0115,0.000249224,0.000249224,0.000249224
76,3374.34,1.67579,3.76409,1.01025,0.9633,0.70733,0.46635,0.60958,0.27043,0.22636,0.12247,0.14223,0.049,1.90524,4.41916,1.1503,1.0151,0.000232473,0.000232473,0.000232473
77,3427,1.64945,3.79129,0.98697,0.95018,0.71615,0.47424,0.61171,0.27642,0.23837,0.1329,0.15007,0.05433,1.87345,4.29282,1.15899,1.00501,0.000216241,0.000216241,0.000216241
78,3466.3,1.6676,3.75464,1.03539,0.95193,0.72833,0.4812,0.6253,0.273,0.21886,0.12594,0.13873,0.04453,1.91094,4.34388,1.14349,1.01762,0.000200543,0.000200543,0.000200543
79,3505.65,1.70509,3.85392,1.02848,0.95519,0.68996,0.4965,0.61861,0.26885,0.23934,0.1472,0.15979,0.05123,1.90003,4.23402,1.1725,1.02058,0.000185394,0.000185394,0.000185394
80,3557.69,1.65385,3.73874,1.00641,0.94367,0.69968,0.47685,0.611,0.26959,0.24277,0.14099,0.16138,0.04786,1.91616,4.32033,1.15212,1.01762,0.00017081,0.00017081,0.00017081
81,3597.76,1.65117,3.78097,0.98936,0.94425,0.70738,0.48514,0.61875,0.28155,0.21504,0.1228,0.13914,0.04475,1.90742,4.41951,1.12867,1.01884,0.000156805,0.000156805,0.000156805
82,3636.33,1.64641,3.7441,0.99946,0.93644,0.72059,0.48995,0.6273,0.28387,0.22204,0.12434,0.14231,0.04683,1.87795,4.41047,1.14242,1.01553,0.000143393,0.000143393,0.000143393
83,3688.69,1.66659,3.82445,1.0193,0.9502,0.70599,0.47859,0.61571,0.28305,0.24856,0.14025,0.15819,0.0539,1.86305,4.32525,1.1131,1.01241,0.000130587,0.000130587,0.000130587
84,3726.8,1.69778,3.86763,1.01657,0.94629,0.75699,0.46836,0.62355,0.28638,0.24152,0.1202,0.15254,0.05085,1.84654,4.3987,1.07625,1.00545,0.000118399,0.000118399,0.000118399
85,3766.87,1.62081,3.77886,0.98286,0.93727,0.70815,0.48113,0.61233,0.2713,0.22118,0.12534,0.15145,0.04628,1.91961,4.34392,1.11728,1.01671,0.000106842,0.000106842,0.000106842
86,3816.97,1.77266,3.75494,0.99229,0.98052,0.73183,0.45586,0.61722,0.28194,0.23569,0.12855,0.15535,0.04607,1.91198,4.40218,1.14875,1.01824,9.59277e-05,9.59277e-05,9.59277e-05
87,3849.81,1.74342,3.7901,0.98023,0.98442,0.70441,0.46388,0.60634,0.27118,0.21562,0.12421,0.14274,0.04044,1.88826,4.39842,1.12616,1.02019,8.56659e-05,8.56659e-05,8.56659e-05
88,3881.07,1.7281,3.76929,0.95937,0.98263,0.72564,0.46763,0.61988,0.27728,0.20786,0.11498,0.13119,0.04182,1.91165,4.45573,1.11699,1.02643,7.60672e-05,7.60672e-05,7.60672e-05
89,3912.06,1.73568,3.72918,0.95925,0.97897,0.69669,0.46936,0.60419,0.271,0.22003,0.13076,0.14346,0.04164,1.90476,4.3734,1.13204,1.02225,6.7141e-05,6.7141e-05,6.7141e-05
90,3944.85,1.75217,3.76708,0.98353,0.97729,0.71488,0.47023,0.61134,0.27719,0.21246,0.11906,0.14099,0.04182,1.91471,4.40244,1.14265,1.03026,5.8896e-05,5.8896e-05,5.8896e-05
91,3976.27,1.76051,3.83668,0.97116,0.97002,0.73046,0.45472,0.61653,0.28242,0.2167,0.11471,0.14063,0.04279,1.89358,4.45158,1.13296,1.02241,5.13405e-05,5.13405e-05,5.13405e-05
92,4007.99,1.75151,3.7704,0.96429,0.98738,0.7306,0.46662,0.6182,0.28185,0.22066,0.12334,0.14708,0.0452,1.89391,4.43166,1.12267,1.02317,4.44819e-05,4.44819e-05,4.44819e-05
93,4039.28,1.72016,3.76822,0.93817,0.96674,0.70231,0.46702,0.60525,0.27525,0.20539,0.11725,0.13827,0.04014,1.90133,4.41491,1.1223,1.02557,3.8327e-05,3.8327e-05,3.8327e-05
94,4072.05,1.73818,3.72255,0.95927,0.9791,0.72278,0.4721,0.61835,0.28518,0.21753,0.12267,0.14387,0.04551,1.89735,4.39385,1.12596,1.02076,3.28818e-05,3.28818e-05,3.28818e-05
95,4103.31,1.72404,3.75361,0.93891,0.97327,0.72515,0.4721,0.61867,0.28492,0.21266,0.11552,0.13614,0.04476,1.89608,4.36171,1.12369,1.02235,2.81517e-05,2.81517e-05,2.81517e-05
96,4134.49,1.72539,3.76643,0.93791,0.98195,0.72735,0.47946,0.62179,0.28424,0.20952,0.11839,0.14043,0.04324,1.90651,4.36464,1.12402,1.02541,2.41414e-05,2.41414e-05,2.41414e-05
97,4165.13,1.70622,3.71462,0.9408,0.97673,0.72483,0.47391,0.61414,0.28225,0.21634,0.12127,0.14169,0.04494,1.90853,4.37595,1.12038,1.02661,2.08548e-05,2.08548e-05,2.08548e-05
98,4196.4,1.71399,3.76897,0.96443,0.97452,0.7148,0.46736,0.61036,0.28267,0.21001,0.11759,0.13459,0.04162,1.905,4.40301,1.12684,1.02706,1.82952e-05,1.82952e-05,1.82952e-05
99,4228.8,1.70726,3.77309,0.93646,0.97107,0.71892,0.47023,0.61125,0.28289,0.20821,0.11685,0.13634,0.04125,1.8939,4.39526,1.11555,1.0261,1.64652e-05,1.64652e-05,1.64652e-05
100,4260,1.69627,3.71625,0.93395,0.97518,0.7041,0.46843,0.60396,0.28423,0.2125,0.11946,0.14148,0.04293,1.90294,4.38925,1.1142,1.02599,1.53664e-05,1.53664e-05,1.53664e-05
